Triagem;Status;Data;Material;Texto breve material;Doc.mat.;Cen.;Dep.;Origem;Quantidade;TMv;Referência;Fornecedor;Local;Tipo;Terminais;Acessórios;Modelo;Local2;TIPO 2;Giro;semana
Laboratório;Bom p/ Uso;4/1/2026;22068486;FONTE ALIM 12V 1.5A RD1201500 233B;4904817787;N190;USAD;ULAB;66;311;PA35168;;Lab. Campinas - HFC;Acessórios;Acessórios;FONTE GPON/ MESH;FONTE GPON/ MESH;Lab. Campinas - HFC;FONTE;Alto Giro;Semana 01
Laboratório;Bom p/ Uso;4/1/2026;41001605;TERMINAL MESH EXTENSOR WIFI 6 Z1320;4904762985;N290;USAD;ULAB;76;311;PROD. DE MARÇO;;Lab. Rio de Janeiro - HFC;Terminais;MESH WIFI 6;Terminais;MESH WIFI 6;Lab. Rio de Janeiro - HFC;Terminal HFC;Alto Giro;Semana 01
Laboratório;Bom p/ Uso;4/1/2026;41001620;DECODER 4K UHD FULL IP S4KW5;4904762985;N290;USAD;ULAB;45;311;PROD. DE MARÇO;;Lab. Rio de Janeiro - HFC;Terminais;IPTV;Terminais;IPTV;Lab. Rio de Janeiro - HFC;Terminal HFC;Alto Giro;Semana 01
Laboratório;Bom p/ Uso;4/1/2026;41001621;DECODER 4K UHD FULL IP Z4KW6;4904762985;N290;USAD;ULAB;50;311;PROD. DE MARÇO;;Lab. Rio de Janeiro - HFC;Terminais;IPTV;Terminais;IPTV;Lab. Rio de Janeiro - HFC;Terminal HFC;Alto Giro;Semana 01
Laboratório;Bom p/ Uso;4/1/2026;22067411;FONTE DE ALIMENTAÇAO MN018G B120150;4904817789;N190;USAD;ULAB;65;311;PA35170;;Lab. Campinas - HFC;Acessórios;Acessórios;Fonte GPON;Fonte GPON;Lab. Campinas - HFC;FONTE;Alto Giro;Semana 01
Laboratório;Bom p/ Uso;4/1/2026;22067412;FONTE DE ALIMENTAÇAO MN018G B120150 M;4904806850;N190;USAD;ULAB;135;311;PA35115;;Lab. Campinas - HFC;Acessórios;Acessórios;FONTE GPON;FONTE GPON;Lab. Campinas - HFC;FONTE;Alto Giro;Semana 01
Laboratório;Bom p/ Uso;4/1/2026;22067412;FONTE DE ALIMENTAÇAO MN018G B120150 M;4904807785;N190;USAD;ULAB;770;311;PA35147;;Lab. Campinas - HFC;Acessórios;Acessórios;FONTE GPON;FONTE GPON;Lab. Campinas - HFC;FONTE;Alto Giro;Semana 01
Laboratório;Bom p/ Uso;4/1/2026;22068437;FONTE ALIM 12V 3.3A MSA C3330IS12.0 40X;4904808522;N190;USAD;ULAB;62;311;PA35159;;Lab. Campinas - HFC;Acessórios;Acessórios;FONTE 3.1;FONTE 3.1;Lab. Campinas - HFC;FONTE;Alto Giro;Semana 01
Laboratório;Bom p/ Uso;4/1/2026;41001620;DECODER 4K UHD FULL IP S4KW5;4904778903;N190;USAD;ULAB;11;311;P37875;;Lab. Campinas - HFC;Terminais;IPTV;Terminais;IPTV;Lab. Campinas - HFC;Terminal HFC;Alto Giro;Semana 01
Laboratório;Bom p/ Uso;4/1/2026;22067412;FONTE DE ALIMENTAÇAO MN018G B120150 M;4904790747;N290;USAD;ULAB;180;311;PROD. DE ABRIL;;Lab. Rio de Janeiro - HFC;Acessórios;Acessórios;FONTE GPON;FONTE GPON;Lab. Rio de Janeiro - HFC;FONTE;Alto Giro;Semana 01
